广东频道,#genre#
广东卫视,http://192.168.110.25:7088/udp/239.77.0.84:5146#http://192.168.110.25:7088/udp/239.77.0.166:5146
广东卫视4K,http://192.168.110.25:7088/udp/239.77.0.252:5146#http://192.168.110.25:7088/udp/239.77.0.245:5146  
广东珠江,http://192.168.110.25:7088/udp/239.77.0.1:5146#http://192.168.110.25:7088/udp/239.77.0.114:5146  
广东新闻,http://192.168.110.25:7088/udp/239.77.0.173:5146
广东民生,http://192.168.110.25:7088/udp/239.77.0.225:5146
广东体育,http://192.168.110.25:7088/udp/239.77.0.112:5146#http://192.168.110.25:7088/udp/239.77.0.168:5146
经济科教,http://192.168.110.25:7088/udp/239.77.0.85:5146#http://192.168.110.25:7088/udp/239.77.0.167:5146  
大湾区卫视,http://192.168.110.25:7088/udp/239.77.0.215:5146
广东影视,http://192.168.110.25:7088/udp/239.77.0.217:5146
广东少儿,http://192.168.110.25:7088/udp/239.77.0.250:5146
嘉佳卡通,http://192.168.110.25:7088/udp/239.77.0.179:5146
南方购物,http://192.168.110.25:7088/udp/239.77.0.19:5146
广东移动,http://192.168.110.25:7088/udp/239.77.0.20:5146
南方购物,http://192.168.110.25:7088/udp/239.77.0.22:5146
岭南戏曲,http://192.168.110.25:7088/udp/239.77.0.122:5146
现代教育,http://192.168.110.25:7088/udp/239.77.0.213:5146
东莞新闻综合,http://192.168.110.25:7088/udp/239.253.43.104:5146
东莞生活资讯,http://192.168.110.25:7088/udp/239.253.43.105:5146
深圳都市频道,http://192.168.110.25:7088/rtp/239.77.1.124:5146
深圳电视剧频道,http://192.168.110.25:7088/rtp/239.77.1.125:5146
深圳财经生活,http://192.168.110.25:7088/rtp/239.77.1.242:5146
深圳体育健康,http://192.168.110.25:7088/rtp/239.77.1.140:5146
深圳少儿频道,http://192.168.110.25:7088/rtp/239.77.1.244:5146
深圳宝安频道,http://192.168.110.25:7088/rtp/239.77.1.67:5146
深圳龙岗频道,http://192.168.110.25:7088/rtp/239.77.1.223:5146
深圳移动电视,http://192.168.110.25:7088/rtp/239.77.1.175:5146
深圳宜和购物,http://192.168.110.25:7088/rtp/239.77.1.87:5146
广东移动,http://192.168.110.25:7088/rtp/239.77.0.20:5146
广州综合,http://192.168.110.25:7088/rtp/239.253.43.71:5146
广州新闻,http://192.168.110.25:7088/rtp/239.253.43.72:5146
广州影视,http://192.168.110.25:7088/rtp/239.253.43.73:5146
广州法治,http://192.168.110.25:7088/rtp/239.253.43.74:5146
广州南国都市,http://192.168.110.25:4022/udp/239.253.43.99:5146
潮州综合,http://192.168.110.25:7088/rtp/239.253.43.70:5146
潮州民生,http://192.168.110.25:7088/rtp/239.253.43.75:5146
韶关新闻综合,http://192.168.110.25:7088/rtp/239.77.0.117:5146
湛江新闻综合,http://192.168.110.25:4022/udp/239.77.0.141:5146
湛江公共,http://192.168.110.25:4022/udp/239.77.0.140:5146
揭阳综合,http://192.168.110.25:4022/udp/239.77.0.229:5146
揭阳生活,http://192.168.110.25:4022/udp/239.77.0.251:5146
汕尾新闻综合,http://192.168.110.25:4022/udp/239.77.0.25:5146
汕尾文化生活,http://192.168.110.25:4022/udp/239.77.0.187:5146
汕头综合,http://192.168.110.25:7088/udp/239.77.1.130:5146 
